date,XAUUSD,XAGUSD,pos_XAUUSD,pos_XAGUSD,cash,equity,cum_ret
2023-01-06,1899.13,21.49,0.0,0.0,100000.0,100000.0,0.0
2023-01-13,1888.14,21.65,0.0,0.0,100000.0,100000.0,0.0
2023-01-20,1891.33,21.62,0.0,0.0,100000.0,100000.0,0.0
2023-01-27,1905.16,22.27,0.0,0.0,100000.0,100000.0,0.0
2023-02-03,1884.9,21.68,0.0,0.0,100000.0,100000.0,0.0
2023-02-10,1887.23,21.63,0.0,0.0,100000.0,100000.0,0.0
2023-02-17,1889.46,22.28,0.0,0.0,100000.0,100000.0,0.0
2023-02-24,1842.0,22.69,0.0,0.0,100000.0,100000.0,0.0
2023-03-03,1872.33,21.82,0.0,0.0,100000.0,100000.0,0.0
2023-03-10,1891.44,22.29,0.0,0.0,100000.0,100000.0,0.0
2023-03-17,1875.96,22.01,0.0,0.0,100000.0,100000.0,0.0
2023-03-24,1873.39,22.29,0.0,0.0,100000.0,100000.0,0.0
2023-03-31,1889.84,22.53,0.0,0.0,100000.0,100000.0,0.0
2023-04-07,1884.7,23.39,0.0,0.0,100000.0,100000.0,0.0
2023-04-14,1880.09,23.5,0.0,0.0,100000.0,100000.0,0.0
2023-04-21,1841.37,22.23,0.0,0.0,100000.0,100000.0,0.0
2023-04-28,1858.89,21.35,0.0,0.0,100000.0,100000.0,0.0
2023-05-05,1864.58,21.85,0.0,0.0,100000.0,100000.0,0.0
2023-05-12,1874.49,21.71,0.0,0.0,100000.0,100000.0,0.0
2023-05-19,1833.82,22.49,0.0,0.0,100000.0,100000.0,0.0
2023-05-26,1881.43,22.71,0.0,0.0,100000.0,100000.0,0.0
2023-06-02,1888.04,22.23,0.0,0.0,100000.0,100000.0,0.0
2023-06-09,1879.34,22.98,0.0,0.0,100000.0,100000.0,0.0
2023-06-16,1938.8,22.46,0.0,0.0,100000.0,100000.0,0.0
2023-06-23,1939.8,21.11,0.0,0.0,100000.0,100000.0,0.0
2023-06-30,1899.92,22.45,0.0,0.0,100000.0,100000.0,0.0
2023-07-07,1890.65,21.2,0.0,0.0,100000.0,100000.0,0.0
2023-07-14,1828.03,21.64,0.0,0.0,100000.0,100000.0,0.0
2023-07-21,1858.99,22.28,0.0,0.0,100000.0,100000.0,0.0
2023-07-28,1849.61,22.41,0.0,0.0,100000.0,100000.0,0.0
2023-08-04,1831.23,21.31,0.0,0.0,100000.0,100000.0,0.0
2023-08-11,1862.89,21.99,0.0,0.0,100000.0,100000.0,0.0
2023-08-18,1818.98,21.07,0.0,0.0,100000.0,100000.0,0.0
2023-08-25,1835.78,20.26,0.0,0.0,100000.0,100000.0,0.0
2023-09-01,1781.13,20.07,0.0,0.0,100000.0,100000.0,0.0
2023-09-08,1765.58,20.57,0.0,0.0,100000.0,100000.0,0.0
